ASEAN,   ***   ,ASEAN  Association of Southeast Asian Nations,,,,
węglowodory,   ***   ,hydrocarbon,,,,
własność,   ***   ,property  asset,,,,
własność,   ***   ,ownership,,,,
właściwość chemiczna,   ***   ,chemical property,,,,
właściwość fizyczna,   ***   ,physical property,,,,
właściwość materiałów,   ***   ,properties of materials,,,,
włoski,   ***   ,Italian  Italian,,,,
włócznia,   ***   ,pike  spear,,,,
włókno,   ***   ,fibre,,,,
włączenie,   ***   ,incorporation,,,,
zabytek,   ***   ,historical monument,,,,
zachowanie (się),   ***   ,behaviour,,,,
zadanie,   ***   ,assignment,,,,
zadziwiający,   ***   ,astonishing,,,,
zajmować się,   ***   ,attend,,,,
zajęcie,   ***   ,employment  employment  job  job  occupation  work  work,,,,
zakażenie,   ***   ,infection,,,,
zakażenie żywności,   ***   ,infestation of food,,,,
zakwaszenie,   ***   ,acidification,,,,
zakwaterowanie,   ***   ,lodging,,,,
zakładnik,   ***   ,hostage,,,,
zalesianie,   ***   ,afforestation  tree planting  afforestment,,,,
zalesianie,   ***   ,reforestation,,,,
zależności  Ziemia,   ***   ,Słońce,Earth,Sun relationship,,
zależność dawka,   ***   ,skutek,dose,effect relationship,,
zależność stan środowiska,   ***   ,zdrowie ludzi,health,environment relationship,,
zaliczka,   ***   ,advance,,,,
zamachowiec,   ***   ,assassin  assassinator,,,,
zamek,   ***   ,castle,,,,
zamglenie,   ***   ,haze,,,,
zamknięcie,   ***   ,closing down,,,,
zanieczyszczenia,   ***   ,pollutant,,,,
zanieczyszczenie,   ***   ,pollution,,,,
zanieczyszczenie,   ***   ,contamination,,,,
zanieczyszczenie środowiska,   ***   ,environmental pollution,,,,
zanieczyszczenie żywności,   ***   ,food pollutant,,,,
zapach,   ***   ,odour,,,,
zapobieganie,   ***   ,prevention measure,,,,
zapora,   ***   ,dam,,,,
zapotrzebowanie,   ***   ,demand,,,,
zapłodnienie,   ***   ,fertilisation  fecundation,,,,
zarazek,   ***   ,germ,,,,
zarodek,   ***   ,embryo,,,,
zarzadzanie środowiskiem,   ***   ,environmental management,,,,
zarządzanie,   ***   ,management,,,,
zasada,   ***   ,base,,,,
zasadowość,   ***   ,basicity,,,,
zasiedzenie,   ***   ,prescription,,,,
zasiłek,   ***   ,allowance,,,,
zaskoczenie,   ***   ,astonishment,,,,
zaskoczony,   ***   ,aback,,,,
zaskoczyć,   ***   ,astonish,,,,
zasoby,   ***   ,resource  resources,,,,
zastaw,   ***   ,arrangement for a deposit on packaging,,,,
zatoczka,   ***   ,cove,,,,
zatoczka,   ***   ,creek,,,,
zatoka,   ***   ,bay,,,,
zatoka,   ***   ,gulf,,,,
zatrucie,   ***   ,intoxication,,,,
zatrucie,   ***   ,poisoning,,,,
zatrudnienie,   ***   ,employment,,,,
zatrzymywać,   ***   ,slaughter,,,,
zatwierdzanie,   ***   ,authorisation,,,,
zatężanie,   ***   ,concentration,,,,
zawartość aluminium,   ***   ,aluminium content,,,,
zawartość siarki,   ***   ,sulphur concentration,,,,
zawartość tlenu,   ***   ,oxygen content,,,,
zawartość wapnia,   ***   ,calcium content,,,,
zawstydzony,   ***   ,ashamed,,,,
zawsze,   ***   ,anytime,,,,
zbierać,   ***   ,assemble  get together  gather,,,,
zboże,   ***   ,grain,,,,
zbrojownia,   ***   ,armoury,,,,
zdolność oczyszczania,   ***   ,purifying power,,,,
zdrowie,   ***   ,health,,,,
zdumiewający,   ***   ,astounding,,,,
zdumieć,   ***   ,astound,,,,
zero,   ***   ,zero  null,,,,
zespół Downa,   ***   ,Down syndrome  Down’s syndrome,,,,
zespół aglomeracji,   ***   ,conurbation,,,,
zgniatanie,   ***   ,compaction,,,,
zgorzel,   ***   ,gangrene,,,,
zieleniec,   ***   ,green space,,,,
ziemniak,   ***   ,potato  patato,,,,
zima,   ***   ,winter,,,,
zimno,   ***   ,cold,,,,
zlewnia,   ***   ,catchment,,,,
zlewnia,   ***   ,catchment area,,,,
zlewnia,   ***   ,hydrographic basin,,,,
zmiana środowiskowa,   ***   ,environmental change,,,,
zmienność genetyczna,   ***   ,genetic variation,,,,
zmienność klimatu,   ***   ,climatic alteration,,,,
zodiak,   ***   ,zodiac,,,,
zoologia,   ***   ,zoology,,,,
zróżnicowanie,   ***   ,differentiation,,,,
zubożenie,   ***   ,impoverishment,,,,
zuchwały,   ***   ,audacious,,,,
zuluski,   ***   ,Zulu,,,,
zwierzyna łowna,   ***   ,game,,,,
zwierzę,   ***   ,animal,,,,
zwierzę domowe,   ***   ,pet,,,,
zwierzę domowe,   ***   ,livestock,,,,
zwierzę futerkowe,   ***   ,fur animal,,,,
zwierzę mięsożerne,   ***   ,carnivore,,,,
zwierzę owadożerne,   ***   ,insectivore,,,,
zwierzę pociągowe,   ***   ,draught animal,,,,
zwierzę stałocieplne,   ***   ,warm,blooded animal,,,
zwierzę udomowione,   ***   ,domesticated animal,,,,
zwierzę wodne,   ***   ,aquatic animal,,,,
zysk,   ***   ,profit,,,,
złom,   ***   ,iron scrap,,,,
złoto,   ***   ,gold,,,,
ćwiartowanie,   ***   ,quartering,,,,
Łotwa,   ***   ,Latvia  Republic of Latvia,,,,
łaciński,   ***   ,Latin  Latin,,,,
łasicowate,   ***   ,mustelid,,,,
łatwy,   ***   ,easy  piece of cake  like shooting fish in a barrel,,,,
łokieć,   ***   ,elbow,,,,
łosoś,   ***   ,salmon,,,,
łotewski,   ***   ,Latvian  Latvian,,,,
łowisko,   ***   ,fishing ground,,,,
łożysko,   ***   ,placenta,,,,
łucznik,   ***   ,archer  archer,,,,
ług,   ***   ,lye,,,,
ługowanie,   ***   ,leaching,,,,
łuk,   ***   ,bow,,,,
łyżka,   ***   ,spoon,,,,
łódź,   ***   ,boat,,,,
łódź podwodna,   ***   ,submarine,,,,
łózko,   ***   ,bed,,,,
łąka,   ***   ,meadow,,,,
ściana,   ***   ,wall,,,,
ścieki,   ***   ,waste water,,,,
ścieki,   ***   ,effluent,,,,
ścierny,   ***   ,abrasive,,,,
ścieżka,   ***   ,path,,,,
ściskanie,   ***   ,compression,,,,
ściółka,   ***   ,litter,,,,
ściółka,   ***   ,mulch,,,,
śledziona,   ***   ,spleen,,,,
ślimak,   ***   ,gastropod,,,,
śluza,   ***   ,canal lock,,,,
śmiać się,   ***   ,laugh,,,,
śmigłowiec,   ***   ,helicopter,,,,
śniadanie,   ***   ,breakfast,,,,
śnieg,   ***   ,snow,,,,
śnić,   ***   ,dream,,,,
środa,   ***   ,Wednesday  quarta,feira,,,
środowisko,   ***   ,environment,,,,
śrubokręt,   ***   ,screwdriver,,,,
świadek,   ***   ,witness,,,,
świadomość ekologiczna,   ***   ,environmental awareness,,,,
świadomość ekologiczna,   ***   ,feeling for nature,,,,
świadomość społeczna,   ***   ,citizen awareness,,,,
świat,   ***   ,world,,,,
światło,   ***   ,light,,,,
świeca,   ***   ,candle,,,,
świerszcz,   ***   ,grasshopper,,,,
żaba,   ***   ,frog,,,,
żad,   ***   ,jade,,,,
żaglowiec,   ***   ,sailing ship,,,,
żeglowanie,   ***   ,boating,,,,
żegluga śródlądowa,   ***   ,inland navigation,,,,
żelazo,   ***   ,iron,,,,
żniwo,   ***   ,harvest,,,,
żona,   ***   ,wife  spouse,,,,
żołądek,   ***   ,stomach,,,,
żużel,   ***   ,slag,,,,
żwir,   ***   ,gravel,,,,
żwirownia,   ***   ,gravel pit,,,,
żyrafa,   ***   ,giraffe,,,,
żywica,   ***   ,resin,,,,
żywność,   ***   ,food,,,,
żywność przetworzona,   ***   ,processed foodstuff,,,,
żywopłot,   ***   ,hedge,,,,
żywotność gospodarcza,   ***   ,economic viability,,,,
żyzność gleb,   ***   ,soil fertility,,,,
żółw,   ***   ,tortoise,,,,
żółć,   ***   ,bile,,,,
